GENERAL;X SEXO;ATLETA;T. TOTAL;PEDESTRISMO;PROMEDIO PEDESTRISMO;CICLISMO;PROMEDIO CICLISMO;PEDESTRISMO;PROMEDIO PEDESTRISMO;EQUIPO
1;1;FORESTIER FRANCO;00:56:06;00:15:40;3:08 min/km — 19,15 km/h;00:32:41;1:38 min/km — 36,72 km/h;00:07:45;3:06 min/km — 19,35 km/h;EQUIPO KORU
2;2;SOSA ISMAEL;00:58:07;00:16:45;3:21 min/km — 17,91 km/h;00:33:27;1:40 min/km — 35,87 km/h;00:07:55;3:10 min/km — 18,95 km/h;MB Coaching
3;3;SELLANES FACUNDO;00:58:29;00:16:56;3:23 min/km — 17,72 km/h;00:33:18;1:40 min/km — 36,04 km/h;00:08:15;3:18 min/km — 18,18 km/h;DEPORSUR
4;4;PERILLO BRUNO;00:58:44;00:16:43;3:21 min/km — 17,95 km/h;00:33:26;1:40 min/km — 35,89 km/h;00:08:35;3:26 min/km — 17,48 km/h;EQUIPO KORU
5;5;LINGERI GABRIEL;00:59:27;00:17:25;3:29 min/km — 17,22 km/h;00:32:52;1:39 min/km — 36,51 km/h;00:09:10;3:40 min/km — 16,36 km/h;MB Coaching
6;6;FERNANDEZ WILLIAMS;00:59:57;00:17:34;3:31 min/km — 17,08 km/h;00:32:52;1:39 min/km — 36,51 km/h;00:09:31;3:48 min/km — 15,76 km/h;DEPORSUR
7;7;LAURO JUAN MANUEL;00:59:57;00:17:45;3:33 min/km — 16,90 km/h;00:32:33;1:38 min/km — 36,87 km/h;00:09:39;3:52 min/km — 15,54 km/h;EQUIPO KORU
8;8;SARLA SEBASTIAN;01:00:08;00:17:25;3:29 min/km — 17,22 km/h;00:33:03;1:39 min/km — 36,31 km/h;00:09:40;3:52 min/km — 15,52 km/h;MB Coaching
9;9;PEREYRA MATHIAS;01:00:09;00:17:26;3:29 min/km — 17,21 km/h;00:33:03;1:39 min/km — 36,31 km/h;00:09:40;3:52 min/km — 15,52 km/h;DEPORSUR
10;10;VICENTINO SEBASTIAN;01:00:20;00:18:12;3:38 min/km — 16,48 km/h;00:33:03;1:39 min/km — 36,31 km/h;00:09:05;3:38 min/km — 16,51 km/h;EQUIPO KORU
11;11;ANGELORO GABRIEL;01:00:35;00:18:45;3:45 min/km — 16,00 km/h;00:32:51;1:39 min/km — 36,53 km/h;00:08:59;3:36 min/km — 16,70 km/h;MB Coaching
12;12;TRENTINI ENRICO;01:01:11;00:17:26;3:29 min/km — 17,21 km/h;00:34:27;1:43 min/km — 34,83 km/h;00:09:18;3:43 min/km — 16,13 km/h;DEPORSUR
13;13;MARCO JOSE;01:01:20;00:18:31;3:42 min/km — 16,20 km/h;00:33:19;1:40 min/km — 36,02 km/h;00:09:30;3:48 min/km — 15,79 km/h;EQUIPO KORU
14;14;INZAURRALDE GONZALO;01:01:46;00:18:49;3:46 min/km — 15,94 km/h;00:33:30;1:41 min/km — 35,82 km/h;00:09:27;3:47 min/km — 15,87 km/h;MB Coaching
15;15;SILVEIRA LUCAS;01:02:00;00:17:19;3:28 min/km — 17,32 km/h;00:34:38;1:44 min/km — 34,65 km/h;00:10:03;4:01 min/km — 14,93 km/h;DEPORSUR
